p_recall,timestamp,delta,user_id,learning_language,ui_language,lexeme_id,lexeme_string,history_seen,history_correct,session_seen,session_correct,datetime,date,diff_minutes,sess_int,new_session,session_id,session_size
0.0,1362148959,1358936,u:_4-,es,en,1494e77424cccd4252c3865e5d635be7,cuándo/cuándo<adv><itg>,88,78,1,0,2013-03-01 14:42:39,2013-03-01,,,True,1,39
1.0,1362148959,85659,u:_4-,es,en,6466c217460079d74e1f098116fff664,quiero/querer<vblex><pri><p1><sg>,346,316,2,2,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,177889,u:_4-,es,en,eff14ccc2979d8fbd8308ef24983af33,ventana/ventana<n><f><sg>,94,87,1,1,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,626609,u:_4-,es,en,28de9c918b4093df7f88896e37213b27,tenemos/tener<vblex><pri><p1><pl>,65,64,1,1,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,1799731,u:_4-,es,en,653cd16e8e7ce5bcefebf546a2e0f540,abrir/abrir<vblex><inf>,42,41,1,1,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,86381,u:_4-,es,en,38b770e66595fea718366523b4f7db3f,libro/libro<n><m><sg>,392,353,2,2,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,177889,u:_4-,es,en,41ba24ffb11fd09f5fc715d39cc6c1ea,qué/qué<prn><itg><m><sg>,321,299,1,1,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
0.0,1362148959,1790283,u:_4-,es,en,910e54b135aa6f42471c6a0bc579813b,vieron/ver<vblex><ifi><p3><pl>,42,36,1,0,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,269996,u:_4-,es,en,ccc028f8c339d16531307ec1bc426f06,coche/coche<n><m><sg>,1,1,1,1,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,357508,u:_4-,es,en,19ce1c76f83b4c311fee6139b33ce7b3,vamos/ir<vblex><pri><p1><pl><@future_phrasal>,401,380,1,1,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
